   Unnamed: 0         x        y
0         nt1       0.0      0.0
1         nt2  107975.5   -599.3
2         nt3  108545.0  93669.9
3         nt4    1106.0  94091.6
4         nb1       0.0      0.0
5         nb2  107975.3   -603.3
6         nb3  108519.6  93663.4
7         nb4    1082.1  94080.4
8         mt1    1804.0   -440.3
9         mt2  104542.8   -428.6
10        mt3  104548.1  93757.4
11        mt4    1832.3  93762.2
12        mb1    1874.6   -440.8
13        mb2  104589.2   -451.3
14        mb3  104639.1  93735.1
15        mb4    1933.1  93777.7
